1,2,3,4,F2/F1
1,1,20,1,0
1,1,20,10,0.6359
1,1,50,10,0.8009
1,5,50,10,0
5,5,50,10,0
1.4444,1,20,1,0
1.4444,1,20,2,0
1.4444,1,20,3,0
1.4444,1,20,4,0.1771
1.4444,1,20,5,0.3805
1.4444,1,20,6,0.4914
1.4444,1,20,7,0.5583
1.4444,1,20,8,0.5988
1,1.4444,20,1,0
1.4444,1,20,10,0.6675
1.4444,1,23.3333,1,0
1.4444,1,23.3333,2,0
1.4444,1,23.3333,3,0
1.4444,1,23.3333,4,0.1736
1.4444,1,23.3333,5,0.4024
1.4444,1,23.3333,6,0.5111
1.4444,1,23.3333,7,0.5733
1.4444,1,23.3333,8,0.6127
1.4444,1,23.3333,9,0.6551
1,1.4444,20,2,0
1.4444,1,23.3333,10,0.6813
1.4444,1,26.6667,1,0
1.4444,1,26.6667,2,0
1.4444,1,26.6667,3,0
1.4444,1,26.6667,4,0.1869
1.4444,1,26.6667,5,0.4028
1.4444,1,26.6667,6,0.5271
1.4444,1,26.6667,7,0.5953
1.4444,1,26.6667,8,0.6418
1.4444,1,26.6667,9,0.6759
1,1.4444,20,3,0
1.4444,1,26.6667,10,0.7012
1.4444,1,30,1,0
1.4444,1,30,2,0
1.4444,1,30,3,0
1.4444,1,30,4,0.1937
1.4444,1,30,5,0.4215
1.4444,1,30,6,0.5451
1.4444,1,30,7,0.6194
1.4444,1,30,8,0.6662
1.4444,1,30,9,0.6983
1,1.4444,20,4,0
1.4444,1,30,10,0.7227
1.4444,1,33.3333,1,0
1.4444,1,33.3333,2,0
1.4444,1,33.3333,3,0
1.4444,1,33.3333,4,0.1956
1.4444,1,33.3333,5,0.4307
1.4444,1,33.3333,6,0.5617
1.4444,1,33.3333,7,0.6458
1.4444,1,33.3333,8,0.6839
1.4444,1,33.3333,9,0.7152
1,1.4444,20,5,0
1.4444,1,33.3333,10,0.7375
1.4444,1,36.6667,1,0
1.4444,1,36.6667,2,0
1.4444,1,36.6667,3,0
1.4444,1,36.6667,4,0.202
1.4444,1,36.6667,5,0.4436
1.4444,1,36.6667,6,0.5728
1.4444,1,36.6667,7,0.6471
1.4444,1,36.6667,8,0.6987
1.4444,1,36.6667,9,0.7311
1,1.4444,20,6,0.2016
1.4444,1,36.6667,10,0.7503
1.4444,1,40,1,0
1.4444,1,40,2,0
1.4444,1,40,3,0
1.4444,1,40,4,0.2028
1.4444,1,40,5,0.4399
1.4444,1,40,6,0.5816
1.4444,1,40,7,0.6626
1.4444,1,40,8,0.7078
1.4444,1,40,9,0.7435
1,1.4444,20,7,0.342
1.4444,1,40,10,0.7656
1.4444,1,43.3333,1,0
1.4444,1,43.3333,2,0
1.4444,1,43.3333,3,0
1.4444,1,43.3333,4,0.191
1.4444,1,43.3333,5,0.4565
1.4444,1,43.3333,6,0.5838
1.4444,1,43.3333,7,0.6677
1.4444,1,43.3333,8,0.7198
1.4444,1,43.3333,9,0.7548
1,1.4444,20,8,0.4311
1.4444,1,43.3333,10,0.7774
1.4444,1,46.6667,1,0
1.4444,1,46.6667,2,0
1.4444,1,46.6667,3,0
1.4444,1,46.6667,4,0.2006
1.4444,1,46.6667,5,0.444
1.4444,1,46.6667,6,0.5811
1.4444,1,46.6667,7,0.6759
1.4444,1,46.6667,8,0.7285
1.4444,1,46.6667,9,0.7591
1,1.4444,20,9,0.4942
1.4444,1,46.6667,10,0.7855
1.4444,1,50,1,0
1.4444,1,50,2,0
1.4444,1,50,3,0
1.4444,1,50,4,0.1954
1.4444,1,50,5,0.449
1.4444,1,50,6,0.5905
1.4444,1,50,7,0.6798
1.4444,1,50,8,0.7305
1.4444,1,50,9,0.7668
1,1,23.3333,1,0
1,1.4444,20,10,0.5346
1.4444,1,50,10,0.7941
1.4444,1.4444,20,1,0
1.4444,1.4444,20,2,0
1.4444,1.4444,20,3,0
1.4444,1.4444,20,4,0
1.4444,1.4444,20,5,0
1.4444,1.4444,20,6,0.2018
1.4444,1.4444,20,7,0.324
1.4444,1.4444,20,8,0.419
1.4444,1.4444,20,9,0.4837
1,1.4444,23.3333,1,0
1.4444,1.4444,20,10,0.5312
1.4444,1.4444,23.3333,1,0
1.4444,1.4444,23.3333,2,0
1.4444,1.4444,23.3333,3,0
1.4444,1.4444,23.3333,4,0
1.4444,1.4444,23.3333,5,0
1.4444,1.4444,23.3333,6,0.137
1.4444,1.4444,23.3333,7,0.2869
1.4444,1.4444,23.3333,8,0.3876
1.4444,1.4444,23.3333,9,0.4558
1,1.4444,23.3333,2,0
1.4444,1.4444,23.3333,10,0.5151
1.4444,1.4444,26.6667,1,0
1.4444,1.4444,26.6667,2,0
1.4444,1.4444,26.6667,3,0
1.4444,1.4444,26.6667,4,0
1.4444,1.4444,26.6667,5,0
1.4444,1.4444,26.6667,6,0.1651
1.4444,1.4444,26.6667,7,0.3214
1.4444,1.4444,26.6667,8,0.4227
1.4444,1.4444,26.6667,9,0.4869
1,1.4444,23.3333,3,0
1.4444,1.4444,26.6667,10,0.5435
1.4444,1.4444,30,1,0
1.4444,1.4444,30,2,0
1.4444,1.4444,30,3,0
1.4444,1.4444,30,4,0
1.4444,1.4444,30,5,0
1.4444,1.4444,30,6,0.2298
1.4444,1.4444,30,7,0.3715
1.4444,1.4444,30,8,0.4674
1.4444,1.4444,30,9,0.5288
1,1.4444,23.3333,4,0
1.4444,1.4444,30,10,0.5743
1.4444,1.4444,33.3333,1,0
1.4444,1.4444,33.3333,2,0
1.4444,1.4444,33.3333,3,0
1.4444,1.4444,33.3333,4,0
1.4444,1.4444,33.3333,5,0
1.4444,1.4444,33.3333,6,0.2344
1.4444,1.4444,33.3333,7,0.3843
1.4444,1.4444,33.3333,8,0.4813
1.4444,1.4444,33.3333,9,0.5461
1,1.4444,23.3333,5,0
1.4444,1.4444,33.3333,10,0.5961
1.4444,1.4444,36.6667,1,0
1.4444,1.4444,36.6667,2,0
1.4444,1.4444,36.6667,3,0
1.4444,1.4444,36.6667,4,0
1.4444,1.4444,36.6667,5,0
1.4444,1.4444,36.6667,6,0.2448
1.4444,1.4444,36.6667,7,0.3996
